Student_ID,Career,Domain,Raw_Fit_Score,Skill_Coverage,Adjusted_Fit_Score,Readiness,Top_Skill_Gaps,Top_Gap_Values,High_Priority_Gaps,Medium_Priority_Gaps,Recommendation,Career_Rank
38.0,Operations Analyst,Business & Management,85.7,75.0,85.7,Excellent Fit,"Communication, Data_Analysis, Problem_Solving, Excel, Business_Analysis","2.0, 1.23, 1.18, 1.05, 0.98",0,1,"Career is suitable, but improvement is recommended in: Communication, Data_Analysis, Problem_Solving",1
39.0,Graphic Designer,Design & Creative,76.67,100.0,76.67,Strong Fit,"Creativity, Visual_Design, Portfolio, Typography, Branding","3.17, 2.67, 2.33, 1.67, 1.67",1,5,"Career is suitable, but improvement is recommended in: Creativity, Visual_Design, Portfolio",1
40.0,Operations Analyst,Business & Management,97.56,75.0,97.56,Excellent Fit,"Excel, Data_Analysis","1.1, 0.07",0,0,"Career is suitable, but improvement is recommended in: Excel, Data_Analysis",1
41.0,Operations Analyst,Business & Management,85.09,75.0,85.09,Excellent Fit,"Excel, Data_Analysis, Problem_Solving, Projects, Business_Analysis","1.96, 1.78, 1.17, 1.0, 0.8",0,2,"Career is suitable, but improvement is recommended in: Excel, Data_Analysis, Problem_Solving",1
42.0,Product Designer,Design & Creative,97.9,87.5,97.9,Excellent Fit,"Creativity, UI_UX","1.0, 0.2",0,0,"Career is suitable, but improvement is recommended in: Creativity, UI_UX",1
43.0,Operations Analyst,Business & Management,83.78,75.0,83.78,Strong Fit,"Excel, Data_Analysis, Problem_Solving, Projects, Business_Analysis","2.25, 1.93, 1.39, 1.0, 0.77",0,2,"Career is suitable, but improvement is recommended in: Excel, Data_Analysis, Problem_Solving",1
44.0,Graphic Designer,Design & Creative,80.49,100.0,80.49,Strong Fit,"Portfolio, Visual_Design, Creativity, Adobe_Tools, Projects","2.33, 2.27, 2.17, 1.33, 1.33",0,3,"Career is suitable, but improvement is recommended in: Portfolio, Visual_Design, Creativity",1
45.0,Operations Analyst,Business & Management,85.86,75.0,85.86,Excellent Fit,"Excel, Data_Analysis, Problem_Solving, Projects, Business_Analysis","2.01, 1.67, 1.01, 1.0, 0.67",0,2,"Career is suitable, but improvement is recommended in: Excel, Data_Analysis, Problem_Solving",1
46.0,Graphic Designer,Design & Creative,90.53,100.0,90.53,Excellent Fit,"Creativity, Visual_Design, Portfolio, Typography, Color_Theory","2.83, 1.53, 0.67, 0.53, 0.53",0,2,"Career is suitable, but improvement is recommended in: Creativity, Visual_Design, Portfolio",1
47.0,Credit Analyst,Finance & Accounting,81.87,87.5,81.87,Strong Fit,"Risk_Analysis, Excel, Financial_Analysis, Problem_Solving, Communication","2.58, 2.13, 2.06, 1.58, 1.0",0,4,"Career is suitable, but improvement is recommended in: Risk_Analysis, Excel, Financial_Analysis",1
48.0,Data Scientist,Technology & Data,100.0,100.0,100.0,Excellent Fit,,,0,0,Student currently meets the evaluated requirements for this career.,1
49.0,Operations Analyst,Business & Management,90.38,75.0,90.38,Excellent Fit,"Data_Analysis, Communication, Excel, Problem_Solving, Business_Analysis","1.04, 1.0, 0.96, 0.89, 0.51",0,0,"Career is suitable, but improvement is recommended in: Data_Analysis, Communication, Excel",1
50.0,Risk Analyst,Finance & Accounting,93.29,87.5,93.29,Excellent Fit,"Communication, Excel, Risk_Analysis, Financial_Analysis","2.0, 0.73, 0.62, 0.19",0,1,"Career is suitable, but improvement is recommended in: Communication, Excel, Risk_Analysis",1
51.0,Credit Analyst,Finance & Accounting,86.98,87.5,86.98,Excellent Fit,"Excel, Risk_Analysis, Financial_Analysis, Problem_Solving, Accounting","2.33, 1.98, 1.65, 0.98, 0.5",0,3,"Career is suitable, but improvement is recommended in: Excel, Risk_Analysis, Financial_Analysis",1
52.0,Risk Analyst,Finance & Accounting,86.53,87.5,86.53,Excellent Fit,"Excel, Financial_Analysis, Risk_Analysis, Statistics, Problem_Solving","2.91, 1.88, 1.48, 0.48, 0.48",0,2,"Career is suitable, but improvement is recommended in: Excel, Financial_Analysis, Risk_Analysis",1
53.0,Risk Analyst,Finance & Accounting,90.6,87.5,90.6,Excellent Fit,"Communication, Excel, Risk_Analysis, Financial_Analysis","3.0, 0.91, 0.74, 0.27",1,0,"Career is suitable, but improvement is recommended in: Communication, Excel, Risk_Analysis",1
54.0,Data Scientist,Technology & Data,88.87,100.0,88.87,Excellent Fit,"Statistics, Problem_Solving, Data_Visualization, Python, Communication","1.52, 1.52, 1.17, 1.0, 1.0",0,2,"Career is suitable, but improvement is recommended in: Statistics, Problem_Solving, Data_Visualization",1
55.0,Product Designer,Design & Creative,100.0,87.5,100.0,Excellent Fit,,,0,0,Student currently meets the evaluated requirements for this career.,1
56.0,Operations Analyst,Business & Management,87.05,75.0,87.05,Excellent Fit,"Communication, Excel, Data_Analysis, Problem_Solving, Business_Analysis","2.0, 1.08, 1.05, 0.91, 0.78",0,1,"Career is suitable, but improvement is recommended in: Communication, Excel, Data_Analysis",1
57.0,Teacher,Education,62.95,100.0,62.95,Moderate Fit,"Subject_Knowledge, Teaching, Presentation, Planning, Communication","4.12, 3.56, 3.33, 3.26, 3.0",6,1,"Career is suitable, but improvement is recommended in: Subject_Knowledge, Teaching, Presentation",1
58.0,Tax Consultant,Finance & Accounting,99.93,85.71428571428571,99.93,Excellent Fit,"Taxation, Accounting","0.02, 0.02",0,0,"Career is suitable, but improvement is recommended in: Taxation, Accounting",1
59.0,Research Analyst,Science & Research,80.66,100.0,80.66,Strong Fit,"Research, Data_Analysis, Critical_Thinking, Statistics, Problem_Solving","3.87, 2.38, 2.24, 1.24, 1.24",1,2,"Career is suitable, but improvement is recommended in: Research, Data_Analysis, Critical_Thinking",1
60.0,Operations Analyst,Business & Management,98.38,75.0,98.38,Excellent Fit,"Excel, Data_Analysis","0.55, 0.23",0,0,"Career is suitable, but improvement is recommended in: Excel, Data_Analysis",1
61.0,Risk Analyst,Finance & Accounting,78.53,87.5,78.53,Strong Fit,"Excel, Financial_Analysis, Risk_Analysis, Statistics, Problem_Solving","3.06, 2.34, 2.18, 1.18, 1.18",1,2,"Career is suitable, but improvement is recommended in: Excel, Financial_Analysis, Risk_Analysis",1
62.0,Data Scientist,Technology & Data,100.0,100.0,100.0,Excellent Fit,,,0,0,Student currently meets the evaluated requirements for this career.,1
63.0,Operations Analyst,Business & Management,94.92,75.0,94.92,Excellent Fit,"Excel, Data_Analysis, Problem_Solving","1.45, 0.66, 0.33",0,0,"Career is suitable, but improvement is recommended in: Excel, Data_Analysis, Problem_Solving",1
65.0,Operations Analyst,Business & Management,90.02,75.0,90.02,Excellent Fit,"Problem_Solving, Data_Analysis, Excel, Business_Analysis","1.74, 1.6, 1.06, 0.34",0,2,"Career is suitable, but improvement is recommended in: Problem_Solving, Data_Analysis, Excel",1
66.0,Credit Analyst,Finance & Accounting,81.44,87.5,81.44,Strong Fit,"Communication, Risk_Analysis, Problem_Solving, Financial_Analysis, Financial_Reporting","3.0, 2.46, 1.46, 1.41, 0.91",1,1,"Career is suitable, but improvement is recommended in: Communication, Risk_Analysis, Problem_Solving",1
67.0,Data Scientist,Technology & Data,98.75,100.0,98.75,Excellent Fit,Python,1.0,0,0,"Career is suitable, but improvement is recommended in: Python",1
68.0,Risk Analyst,Finance & Accounting,92.12,87.5,92.12,Excellent Fit,"Communication, Risk_Analysis, Excel, Financial_Analysis","3.0, 0.57, 0.33, 0.15",1,0,"Career is suitable, but improvement is recommended in: Communication, Risk_Analysis, Excel",1
69.0,Risk Analyst,Finance & Accounting,58.69,87.5,58.69,Moderate Fit,"Risk_Analysis, Excel, Financial_Analysis, Communication, Statistics","3.93, 3.91, 3.51, 3.0, 2.93",4,3,"Career is suitable, but improvement is recommended in: Risk_Analysis, Excel, Financial_Analysis",1
70.0,Operations Analyst,Business & Management,81.0,75.0,81.0,Strong Fit,"Excel, Data_Analysis, Problem_Solving, Business_Analysis, Communication","2.13, 1.89, 1.33, 1.13, 1.0",0,2,"Career is suitable, but improvement is recommended in: Excel, Data_Analysis, Problem_Solving",1
71.0,Operations Analyst,Business & Management,96.77,75.0,96.77,Excellent Fit,"Excel, Data_Analysis, Problem_Solving","0.77, 0.58, 0.2",0,0,"Career is suitable, but improvement is recommended in: Excel, Data_Analysis, Problem_Solving",1
72.0,Graphic Designer,Design & Creative,94.35,100.0,94.35,Excellent Fit,"Creativity, Visual_Design, Portfolio, Typography, Color_Theory","1.83, 1.13, 0.67, 0.13, 0.13",0,1,"Career is suitable, but improvement is recommended in: Creativity, Visual_Design, Portfolio",1
73.0,Operations Analyst,Business & Management,71.2,75.0,71.2,Strong Fit,"Communication, Excel, Data_Analysis, Business_Analysis, Problem_Solving","3.0, 2.44, 2.32, 2.03, 1.98",1,4,"Career is suitable, but improvement is recommended in: Communication, Excel, Data_Analysis",1
74.0,Data Scientist,Technology & Data,94.05,100.0,94.05,Excellent Fit,"Machine_Learning, Python, Statistics, Problem_Solving, Data_Visualization","1.04, 1.0, 0.79, 0.79, 0.67",0,0,"Career is suitable, but improvement is recommended in: Machine_Learning, Python, Statistics",1
75.0,Operations Analyst,Business & Management,68.93,75.0,68.93,Moderate Fit,"Excel, Data_Analysis, Projects, Problem_Solving, Business_Analysis","3.84, 3.23, 2.67, 2.5, 1.56",2,3,"Career is suitable, but improvement is recommended in: Excel, Data_Analysis, Projects",1
76.0,Credit Analyst,Finance & Accounting,61.09,87.5,61.09,Moderate Fit,"Risk_Analysis, Excel, Financial_Analysis, Problem_Solving, Accounting","3.97, 3.65, 3.54, 2.97, 2.65",3,4,"Career is suitable, but improvement is recommended in: Risk_Analysis, Excel, Financial_Analysis",1
77.0,Operations Analyst,Business & Management,94.24,75.0,94.24,Excellent Fit,"Communication, Excel, Data_Analysis, Problem_Solving, Business_Analysis","1.0, 0.77, 0.54, 0.15, 0.14",0,0,"Career is suitable, but improvement is recommended in: Communication, Excel, Data_Analysis",1
78.0,Risk Analyst,Finance & Accounting,92.07,87.5,92.07,Excellent Fit,"Communication, Risk_Analysis, Excel, Financial_Analysis","2.0, 0.96, 0.88, 0.42",0,1,"Career is suitable, but improvement is recommended in: Communication, Risk_Analysis, Excel",1
79.0,Operations Analyst,Business & Management,94.58,75.0,94.58,Excellent Fit,"Excel, Communication, Data_Analysis","1.06, 1.0, 0.4",0,0,"Career is suitable, but improvement is recommended in: Excel, Communication, Data_Analysis",1
80.0,Operations Analyst,Business & Management,90.65,75.0,90.65,Excellent Fit,"Problem_Solving, Data_Analysis, Excel, Business_Analysis","1.45, 1.41, 1.16, 0.41",0,0,"Career is suitable, but improvement is recommended in: Problem_Solving, Data_Analysis, Excel",1
81.0,Operations Analyst,Business & Management,100.0,75.0,100.0,Excellent Fit,,,0,0,Student currently meets the evaluated requirements for this career.,1
82.0,Operations Analyst,Business & Management,80.7,75.0,80.7,Strong Fit,"Excel, Data_Analysis, Problem_Solving, Projects, Business_Analysis","2.62, 2.31, 1.97, 1.0, 0.9",0,3,"Career is suitable, but improvement is recommended in: Excel, Data_Analysis, Problem_Solving",1
83.0,Graphic Designer,Design & Creative,95.93,100.0,95.93,Excellent Fit,"Creativity, Visual_Design, Portfolio","1.33, 0.93, 0.67",0,0,"Career is suitable, but improvement is recommended in: Creativity, Visual_Design, Portfolio",1
85.0,Operations Analyst,Business & Management,81.49,75.0,81.49,Strong Fit,"Data_Analysis, Excel, Business_Analysis, Problem_Solving, Communication","1.86, 1.58, 1.47, 1.29, 1.0",0,2,"Career is suitable, but improvement is recommended in: Data_Analysis, Excel, Business_Analysis",1
86.0,Operations Analyst,Business & Management,97.26,75.0,97.26,Excellent Fit,"Communication, Problem_Solving, Excel","1.0, 0.12, 0.05",0,0,"Career is suitable, but improvement is recommended in: Communication, Problem_Solving, Excel",1
87.0,Graphic Designer,Design & Creative,95.93,100.0,95.93,Excellent Fit,"Creativity, Visual_Design, Portfolio","1.33, 0.93, 0.67",0,0,"Career is suitable, but improvement is recommended in: Creativity, Visual_Design, Portfolio",1
88.0,Risk Analyst,Finance & Accounting,85.52,87.5,85.52,Excellent Fit,"Excel, Communication, Risk_Analysis, Financial_Analysis, Statistics","2.02, 2.0, 1.42, 1.28, 0.42",0,2,"Career is suitable, but improvement is recommended in: Excel, Communication, Risk_Analysis",1
89.0,Operations Analyst,Business & Management,92.92,75.0,92.92,Excellent Fit,"Data_Analysis, Excel, Problem_Solving","1.17, 1.15, 1.08",0,0,"Career is suitable, but improvement is recommended in: Data_Analysis, Excel, Problem_Solving",1
90.0,Operations Analyst,Business & Management,84.34,75.0,84.34,Strong Fit,"Excel, Data_Analysis, Problem_Solving, Projects, Business_Analysis","2.34, 2.06, 1.59, 1.0, 0.17",0,3,"Career is suitable, but improvement is recommended in: Excel, Data_Analysis, Problem_Solving",1
91.0,Credit Analyst,Finance & Accounting,82.05,87.5,82.05,Strong Fit,"Risk_Analysis, Excel, Financial_Analysis, Problem_Solving, Accounting","2.79, 2.44, 2.19, 1.79, 0.61",0,4,"Career is suitable, but improvement is recommended in: Risk_Analysis, Excel, Financial_Analysis",1
93.0,Operations Analyst,Business & Management,80.0,75.0,80.0,Strong Fit,"Excel, Data_Analysis, Problem_Solving, Business_Analysis, Communication","2.4, 2.0, 1.5, 1.07, 1.0",0,3,"Career is suitable, but improvement is recommended in: Excel, Data_Analysis, Problem_Solving",1
94.0,Tax Consultant,Finance & Accounting,91.98,85.71428571428571,91.98,Excellent Fit,"Communication, Taxation, Accounting, Excel","2.0, 0.62, 0.62, 0.46",0,1,"Career is suitable, but improvement is recommended in: Communication, Taxation, Accounting",1
95.0,Data Engineer,Technology & Data,72.5,100.0,72.5,Strong Fit,"SQL, Problem_Solving, Database_Management, Data_Pipelines, ETL","3.8, 3.55, 3.5, 2.5, 2.5",3,4,"Career is suitable, but improvement is recommended in: SQL, Problem_Solving, Database_Management",1
96.0,Operations Analyst,Business & Management,89.5,75.0,89.5,Excellent Fit,"Communication, Excel, Data_Analysis, Business_Analysis, Problem_Solving","2.0, 0.91, 0.74, 0.58, 0.44",0,1,"Career is suitable, but improvement is recommended in: Communication, Excel, Data_Analysis",1
97.0,Credit Analyst,Finance & Accounting,78.22,87.5,78.22,Strong Fit,"Risk_Analysis, Excel, Communication, Financial_Analysis, Problem_Solving","2.49, 2.39, 2.0, 1.99, 1.49",0,4,"Career is suitable, but improvement is recommended in: Risk_Analysis, Excel, Communication",1
98.0,Graphic Designer,Design & Creative,97.88,100.0,97.88,Excellent Fit,"Portfolio, Visual_Design, Creativity","0.67, 0.53, 0.33",0,0,"Career is suitable, but improvement is recommended in: Portfolio, Visual_Design, Creativity",1
99.0,Credit Analyst,Finance & Accounting,81.7,87.5,81.7,Strong Fit,"Risk_Analysis, Excel, Financial_Analysis, Problem_Solving, Communication","2.57, 2.17, 2.05, 1.57, 1.0",0,4,"Career is suitable, but improvement is recommended in: Risk_Analysis, Excel, Financial_Analysis",1
100.0,Risk Analyst,Finance & Accounting,68.87,87.5,68.87,Moderate Fit,"Excel, Communication, Risk_Analysis, Financial_Analysis, Statistics","3.5, 3.0, 2.77, 2.73, 1.77",2,5,"Career is suitable, but improvement is recommended in: Excel, Communication, Risk_Analysis",1
101.0,Data Scientist,Technology & Data,97.08,100.0,97.08,Excellent Fit,"Statistics, Problem_Solving, SQL","1.14, 1.14, 0.05",0,0,"Career is suitable, but improvement is recommended in: Statistics, Problem_Solving, SQL",1
102.0,Cybersecurity Analyst,Technology & Data,95.3,55.55555555555556,85.77,Excellent Fit,"Risk_Analysis, Problem_Solving","0.94, 0.94",0,0,"Career is suitable, but improvement is recommended in: Risk_Analysis, Problem_Solving",1
103.0,Operations Analyst,Business & Management,74.38,75.0,74.38,Strong Fit,"Excel, Data_Analysis, Communication, Problem_Solving, Business_Analysis","2.75, 2.3, 2.0, 1.95, 1.47",0,4,"Career is suitable, but improvement is recommended in: Excel, Data_Analysis, Communication",1
104.0,Risk Analyst,Finance & Accounting,92.67,87.5,92.67,Excellent Fit,"Communication, Risk_Analysis, Excel, Financial_Analysis","2.0, 0.89, 0.66, 0.37",0,1,"Career is suitable, but improvement is recommended in: Communication, Risk_Analysis, Excel",1
105.0,Data Engineer,Technology & Data,98.51,100.0,98.51,Excellent Fit,"Problem_Solving, SQL","0.84, 0.4",0,0,"Career is suitable, but improvement is recommended in: Problem_Solving, SQL",1
106.0,Credit Analyst,Finance & Accounting,85.42,87.5,85.42,Excellent Fit,"Risk_Analysis, Excel, Financial_Analysis, Problem_Solving, Accounting","2.31, 2.21, 1.87, 1.31, 0.38",0,3,"Career is suitable, but improvement is recommended in: Risk_Analysis, Excel, Financial_Analysis",1
107.0,Data Scientist,Technology & Data,82.43,100.0,82.43,Strong Fit,"Internship, Problem_Solving, Statistics, Machine_Learning, Python","2.67, 2.37, 2.37, 1.65, 1.0",0,4,"Career is suitable, but improvement is recommended in: Internship, Problem_Solving, Statistics",1
108.0,Operations Analyst,Business & Management,98.42,75.0,98.42,Excellent Fit,"Excel, Data_Analysis","0.68, 0.08",0,0,"Career is suitable, but improvement is recommended in: Excel, Data_Analysis",1
109.0,Operations Analyst,Business & Management,90.42,75.0,90.42,Excellent Fit,"Data_Analysis, Communication, Excel, Problem_Solving, Business_Analysis","1.04, 1.0, 0.91, 0.89, 0.54",0,0,"Career is suitable, but improvement is recommended in: Data_Analysis, Communication, Excel",1
110.0,Credit Analyst,Finance & Accounting,80.62,87.5,80.62,Strong Fit,"Risk_Analysis, Excel, Financial_Analysis, Problem_Solving, Communication","2.55, 2.4, 2.03, 1.55, 1.0",0,4,"Career is suitable, but improvement is recommended in: Risk_Analysis, Excel, Financial_Analysis",1
111.0,Operations Analyst,Business & Management,86.78,75.0,86.78,Excellent Fit,"Problem_Solving, Data_Analysis, Excel, Communication, Business_Analysis","1.6, 1.51, 1.02, 1.0, 0.94",0,2,"Career is suitable, but improvement is recommended in: Problem_Solving, Data_Analysis, Excel",1
112.0,Product Designer,Design & Creative,99.11,87.5,99.11,Excellent Fit,Creativity,0.5,0,0,"Career is suitable, but improvement is recommended in: Creativity",1
113.0,Operations Analyst,Business & Management,76.04,75.0,76.04,Strong Fit,"Excel, Data_Analysis, Communication, Problem_Solving, Business_Analysis","2.54, 2.1, 2.0, 1.64, 1.4",0,4,"Career is suitable, but improvement is recommended in: Excel, Data_Analysis, Communication",1
114.0,Data Scientist,Technology & Data,99.88,100.0,99.88,Excellent Fit,"Statistics, Problem_Solving, Machine_Learning","0.04, 0.04, 0.02",0,0,"Career is suitable, but improvement is recommended in: Statistics, Problem_Solving, Machine_Learning",1
115.0,Data Scientist,Technology & Data,91.08,100.0,91.08,Excellent Fit,"Python, Machine_Learning, Data_Visualization, Communication, Statistics","2.0, 1.35, 1.17, 1.0, 0.37",0,1,"Career is suitable, but improvement is recommended in: Python, Machine_Learning, Data_Visualization",1
